********************************************************************************
product = Open Liberty 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = D:/devel/tools/wlp/
java.home = C:\Program Files\Java\jre1.8.0_211
java.version = 1.8.0_211
java.runtime = Java(TM) SE Runtime Environment (1.8.0_211-b12)
os = Windows 10 (10.0; amd64) (es_PE)
process = 10252@DESKTOP-DIRMJ0E
********************************************************************************
[04/07/19 16:43:22:897 COT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: El servidor defaultServer se ha lanzado.
[04/07/19 16:43:25:754 COT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: El kernel se ha iniciado después de 3,569 segundos
[04/07/19 16:43:25:914 COT] 0000001b com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: La actualización de características se ha iniciado.
[04/07/19 16:43:40:338 COT] 00000013 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: El servicio de seguridad se está iniciando...
[04/07/19 16:43:40:675 COT] 00000013 .apache.cxf.cxf.core.3.2:1.0.26.cl190320190321-1636(id=196)] I Aries Blueprint packages not available. So namespaces will not be registered
[04/07/19 16:43:40:679 COT] 00000013 .apache.cxf.cxf.core.3.2:1.0.26.cl190320190321-1636(id=196)] I Aries Blueprint packages not available. So namespaces will not be registered
[04/07/19 16:43:41:195 COT] 00000013 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Supervisando aplicaciones de dropins.
[04/07/19 16:43:42:588 COT] 00000013 ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I: Se ha activado el plugin de autenticación colectivo con el nombre de clase NullCollectiveAuthenticationPlugin. 
[04/07/19 16:43:42:717 COT] 0000001c com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0008I: El servicio de seguridad está listo.
[04/07/19 16:43:42:721 COT] 0000001c com.ibm.ws.security.token.ltpa.internal.LTPAKeyCreateTask    I CWWKS4105I: La configuración de LTPA estará lista después de 0,227 segundos.
[04/07/19 16:43:43:008 COT] 00000015 com.ibm.ws.ssl.config.WSKeyStore                             I Successfully loaded default keystore: D:/devel/tools/wlp/usr/servers/defaultServer/resources/security/key.p12 of type: PKCS12
